"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/Components/Button/Button.tsx", "TypeScript JSX", -16, 0, -1, -17
"/Users/casey/Documents/appworks/everyday/src/Components/Nav/Navbar.tsx", "TypeScript JSX", 6, -1, 2, 7
"/Users/casey/Documents/appworks/everyday/src/Components/Nav/SideNav.tsx", "TypeScript JSX", -3, 0, -4, -7
"/Users/casey/Documents/appworks/everyday/src/Components/drawingtool.tsx", "TypeScript JSX", 0, 0, -7, -7
"/Users/casey/Documents/appworks/everyday/src/Components/layout.tsx", "TypeScript JSX", -25, 0, -4, -29
"/Users/casey/Documents/appworks/everyday/src/Components/loading.tsx", "TypeScript JSX", 0, 0, 2, 2
"/Users/casey/Documents/appworks/everyday/src/pages/Family/FamilyForm.tsx", "TypeScript JSX", -14, 0, 1, -13
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/SmartInput.tsx", "TypeScript JSX", -15, 0, -5, -20
"/Users/casey/Documents/appworks/everyday/src/pages/Main/AI/Suggestion.tsx", "TypeScript JSX", 0, 0, -1, -1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/DragNDrop.tsx", "TypeScript JSX", -806, -9, -61, -876
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/Todo.tsx", "TypeScript JSX", -3, 0, 2, -1
"/Users/casey/Documents/appworks/everyday/src/pages/Main/Todo/TodoItems.tsx", "TypeScript JSX", 806, 0, 49, 855
"/Users/casey/Documents/appworks/everyday/src/utils/familySetupOptions.tsx", "TypeScript JSX", 49, 0, 5, 54
"Total", "-", -21, -10, -22, -53
